wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/9-7-18 clem interviewed by tara_1.wav-01878810_01885530.wav|I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01880640_01885530.wav|victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01878390_01885530.wav|So I felt I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01878390_01882290.wav|So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01875090_01882290.wav|so it was and I wasn't aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01877370_01882290.wav|at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01878000_01882290.wav|time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01876440_01882290.wav|aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01877700_01882290.wav|same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01877100_01882290.wav|doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01875750_01882290.wav|and I wasn't aware that I was doing it at the same time.  So I felt I was the victim while I was victimizing other people really.
wavs/9-7-18 clem interviewed by tara_1.wav-01880100_01885530.wav|while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01879320_01885530.wav|was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01879650_01885530.wav|victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01878390_01885530.wav|So I felt I was the victim while I was victimizing other people really. And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01880400_01885530.wav|was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01881570_01885530.wav|people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01881900_01885530.wav|really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01880400_01885530.wav|I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01878810_01885530.wav|felt I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01878390_01885530.wav|I felt I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01879560_01885530.wav|the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01878000_01885530.wav|time. So I felt I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01877700_01885530.wav|same time. So I felt I was the victim while I was victimizing other people really.  And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01882350_01885530.wav|And, and so what I did is just, it just hurt people.
wavs/9-7-18 clem interviewed by tara_1.wav-01916670_01923210.wav|by all these protective mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01917300_01923210.wav|protective mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01918650_01923210.wav|I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01916220_01923210.wav|stress by all these protective mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01916670_01923210.wav|all these protective mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01917870_01923210.wav|mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01917120_01923210.wav|these protective mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01915680_01923210.wav|habits stress by all these protective mechanisms.  I was driving everybody in We are pushing everybody away and in all kinds of corners.
wavs/9-7-18 clem interviewed by tara_1.wav-01919460_01926630.wav|everybody in We are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01918650_01926630.wav|I was driving everybody in We are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01921050_01926630.wav|everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01920690_01926630.wav|pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01921890_01926630.wav|in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01922310_01926630.wav|kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01922610_01926630.wav|of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01918980_01926630.wav|driving everybody in We are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01923210_01926630.wav|And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01919910_01926630.wav|in We are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01921500_01926630.wav|away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01918650_01926630.wav|I was driving everybody in We are pushing everybody away and in all kinds of corners. And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01922670_01926630.wav|corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01918650_01926630.wav|was driving everybody in We are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01919910_01926630.wav|We are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01922160_01926630.wav|all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01921890_01926630.wav|and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01920450_01926630.wav|are pushing everybody away and in all kinds of corners.  And this was a big, big old misery really.
wavs/9-7-18 clem interviewed by tara_1.wav-01926150_01933200.wav|really.  And, and that reached like you and also we actually commence the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-01925520_01933200.wav|misery really.  And, and that reached like you and also we actually commence the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-01927980_01933200.wav|And, and that reached like you and also we actually commence the journey.
wavs/9-7-18 clem interviewed by tara_1.wav-01933200_01939620.wav|So we gathered another crew and left Anwar to and sailed for their very remote islands between Vanuatu and the Solomon Islands.
wavs/9-7-18 clem interviewed by tara_1.wav-01931790_01939620.wav|we actually commence the journey.  So we gathered another crew and left Anwar to and sailed for their very remote islands between Vanuatu and the Solomon Islands.
wavs/9-7-18 clem interviewed by tara_1.wav-01932240_01939620.wav|commence the journey.  So we gathered another crew and left Anwar to and sailed for their very remote islands between Vanuatu and the Solomon Islands.
wavs/9-7-18 clem interviewed by tara_1.wav-01932780_01939620.wav|journey.  So we gathered another crew and left Anwar to and sailed for their very remote islands between Vanuatu and the Solomon Islands.
wavs/9-7-18 clem interviewed by tara_1.wav-01932690_01939620.wav|the journey.  So we gathered another crew and left Anwar to and sailed for their very remote islands between Vanuatu and the Solomon Islands.
wavs/9-7-18 clem interviewed by tara_1.wav-01931940_01939620.wav|actually commence the journey.  So we gathered another crew and left Anwar to and sailed for their very remote islands between Vanuatu and the Solomon Islands.
wavs/9-7-18 clem interviewed by tara_1.wav-01939680_01945170.wav|And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01939020_01945170.wav|Islands.  And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01938420_01945170.wav|the Solomon Islands.  And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01937820_01945170.wav|Vanuatu and the Solomon Islands.  And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01937490_01945170.wav|between Vanuatu and the Solomon Islands.  And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01938300_01945170.wav|and the Solomon Islands.  And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01938480_01945170.wav|Solomon Islands.  And and that stress had accrued accumulated a level where I had a total complete nervous breakdown.
wavs/9-7-18 clem interviewed by tara_1.wav-01965270_01970670.wav|hadn't slept for four or five days.  I hadn't had drank any water.
wavs/9-7-18 clem interviewed by tara_1.wav-01965600_01970670.wav|slept for four or five days.  I hadn't had drank any water.
wavs/9-7-18 clem interviewed by tara_1.wav-01968870_01970670.wav|I hadn't had drank any water.
wavs/9-7-18 clem interviewed by tara_1.wav-01966020_01970670.wav|for four or five days.  I hadn't had drank any water.
wavs/9-7-18 clem interviewed by tara_1.wav-01964820_01970670.wav|I hadn't slept for four or five days.  I hadn't had drank any water.
wavs/9-7-18 clem interviewed by tara_1.wav-01969050_01974240.wav|hadn't had drank any water.  I was completely dehydrated, which I didn't realize at the time.
